Year,Emissions_NA,Releases_NA,Emissions_SA,Releases_SA,Emissions_EU,Releases_EU,Emissions_USSR,Releases_USSR,Emissions_AFME,Releases_AFME,Emissions_ASIA,Releases_ASIA,Emissions_OCE,Releases_OCE,Total_E,Total_R,Total_E_NH,Total_E_SH,Total_R_NH,Total_R_SH
1510,0,0,0,0,26.9,78.3,0,0,1.5,2.2,5.1,7.7,0,0,33.5,88.2,32,1.5,86,2.2
1520,0,0,0,0,30.9,87.9,0,0,1.5,2.2,5.5,8.2,0,0,37.9,98.3,36.4,1.5,96.1,2.2
1530,0.4,10.1,1.3,31.7,35,98.2,0,0,1.4,2.2,5.8,8.8,0,0,43.9,151,41.2,2.7,117.1,33.9
1540,0.7,20,5.1,112.6,39.4,109.1,0,0,1.4,2.1,6.2,9.3,0,0,52.8,253.1,46.3,6.5,138.4,114.7
1550,1,29.9,7.8,182,43.9,120.7,0,0,1.4,2.1,6.6,9.8,0,0,60.7,344.5,51.5,9.2,160.4,184.1
1560,1.3,39.8,42,354.7,44.6,122.4,0,0,1.4,2.1,6.9,10.4,0,0,96.2,529.4,52.8,43.4,172.6,356.8
1570,1.6,49.7,46.1,417.5,45.3,124.2,0,0,1.4,2.1,7.3,10.9,0,0,101.7,604.4,54.2,47.5,184.8,419.6
1580,1.8,59.6,50.3,480.6,45.9,125.9,0,0,1.4,2,7.7,11.5,0,0,107.1,679.6,55.4,51.7,197,482.6
1590,2.1,69.5,54.5,543.9,44.9,125.1,0,0,1.3,2,8,12,0,0,110.8,752.5,55,55.8,206.6,545.9
1600,2.4,79.4,58.9,607.6,41.6,120.9,0,0,1.3,2,9.3,13.9,0,0,113.5,823.8,53.3,60.2,214.2,609.6
1610,3.1,102.9,58.4,579.8,44.3,137.9,0,0,1.2,1.9,10.5,15.7,0,0,117.5,838.2,57.9,59.6,256.5,581.7
1620,3.1,102.9,58,552,48.5,159.9,0,0,1.2,1.8,11.8,17.6,0,0,122.6,834.2,63.4,59.2,280.4,553.8
1630,3.3,111.7,57.7,524.3,58.3,193.9,0,0,1.1,1.7,13,19.5,0,0,133.4,851.1,74.6,58.8,325.1,526
1640,3.3,111.7,57.3,496.6,70.2,235.2,0,0,1,1.6,14.3,21.4,0,0,146.1,866.5,87.8,58.3,368.3,498.2
1650,3.6,120.6,56.9,469,75,251.6,0,0,1,1.5,15.5,23.2,0,0,152,865.9,94.1,57.9,395.4,470.5
1660,3.6,120.7,55.8,438.8,62,205.6,0,0,0.9,1.4,16.8,25.1,0,0,139.1,791.6,82.4,56.7,351.4,440.2
1670,3.9,129.4,54.8,408.6,52.9,173.3,0,0,0.8,1.2,18,27,0,0,130.4,739.5,74.8,55.6,329.7,409.8
1680,3.9,129.4,53.7,378.5,45.4,146.4,0,0,0.8,1.1,19.3,28.8,0,0,123.1,684.2,68.6,54.5,304.6,379.6
1690,4.2,139.6,52.7,348.5,39.1,124,0,0,0.7,1.1,20.5,30.7,0,0,117.2,643.9,63.8,53.4,294.3,349.6
1700,4.2,139.7,51.7,318.5,33.9,105.4,0,0,0.7,1.1,21.7,32.6,0,0,112.2,597.3,59.8,52.4,277.7,319.6
1710,6.1,207.5,49.7,324.4,44.8,140.6,0.6,0.9,0.7,1.1,0.8,1.2,0,0,102.7,675.7,52.3,50.4,350.2,325.5
1720,6.2,207.5,48,331.4,59.1,187.3,1.2,1.9,0.7,1,0.8,1.2,0,0,116,730.3,67.3,48.7,397.9,332.4
1730,8.6,292.3,46.5,339.2,77.7,249.5,1.9,2.9,0.7,1,0.8,1.2,0,0,136.2,886.1,89,47.2,545.9,340.2
