Year,Emissions_air (Mg/yr),Releases_land_water  (Mg/yr)
1510,33.5,88.2
1520,37.9,98.4
1530,44.1,150.9
1540,52.8,253.1
1550,60.7,344.5
1560,96.2,529.4
1570,101.6,604.3
1580,107.1,679.5
1590,110.9,752.5
1600,113.4,823.7
1610,117.6,838.2
1620,122.6,834.2
1630,133.4,851
1640,146.2,866.4
1650,152,865.9
1660,139.1,791.5
1670,130.4,739.5
1680,122.9,684.3
1690,117.2,644
1700,112.3,597.2
1710,102.8,675.6
1720,116,730.3
1730,136.3,886
1740,160.4,978.9
1750,195,1188.9
1760,216.8,1273.7
1770,243.2,1449.1
1780,269.8,1550.8
1790,304.5,1907.6
1800,302.6,1912.3
1810,265.1,1746.8
1820,240,1360.3
1830,235.2,1246
1840,281.5,1382.2
1850,388.1,1362.3
1860,514.5,1651.8
1870,985.6,3740.7
1880,1721.8,5517.6
1890,2460,5680.2
1900,2170.2,5321.4
1910,2178,4166.2
1920,1355.9,2601.9
1930,1514.4,3224.5
1940,2186.4,5493.2
1950,1329.6,3260.6
1960,2430.4,6107.5
1970,3024.4,7848.7
1980,1982.6,7105.4
1990,1960.6,8198.7
2000,1962.7,7130.8
2010,2209.4,7331.4
